MCS,Cell_ID,Cell_TarVol,Cell_Vol,Cell_TarSur,Cell_Sur
0,2402,123.0,123,0.0,50.0
0,2403,437.0,437,0.0,94.0
0,2404,111.0,111,0.0,48.0
0,2405,67.0,68,0.0,38.0
0,2406,135.0,136,0.0,54.0
0,2407,96.0,95,0.0,42.0
0,2408,120.0,120,0.0,52.0
0,2409,176.0,176,0.0,58.0
0,2410,143.0,144,0.0,58.0
0,2411,93.0,93,0.0,50.0
0,2412,92.0,92,0.0,52.0
0,2413,181.0,182,0.0,58.0
0,2414,124.0,123,0.0,52.0
0,2415,166.0,166,0.0,60.0
0,2416,117.0,118,0.0,52.0
0,2417,185.0,184,0.0,60.0
0,2418,109.0,109,0.0,46.0
0,2419,85.0,83,0.0,42.0
0,2420,117.0,117,0.0,50.0
0,2421,74.0,74,0.0,44.0
0,2422,72.0,73,0.0,36.0
0,2423,134.0,135,0.0,50.0
0,2424,55.0,56,0.0,38.0
0,2425,149.0,149,0.0,54.0
0,2426,127.0,127,0.0,50.0
0,2427,89.0,88,0.0,40.0
0,2428,137.0,136,0.0,50.0
0,2429,110.0,110,0.0,48.0
0,2430,30.0,31,0.0,24.0
0,2431,113.0,112,0.0,52.0
0,2432,84.0,83,0.0,38.0
0,2433,120.0,119,0.0,44.0
0,2434,147.0,145,0.0,56.0
0,2435,129.0,130,0.0,54.0
0,2436,68.0,68,0.0,36.0
0,2437,140.0,141,0.0,58.0
0,2438,182.0,181,0.0,62.0
0,2439,119.0,119,0.0,54.0
0,2440,48.0,49,0.0,34.0
0,2441,60.0,61,0.0,34.0
0,2442,128.0,128,0.0,50.0
0,2443,111.0,111,0.0,52.0
0,2444,92.0,92,0.0,48.0
0,2445,143.0,144,0.0,60.0
0,2446,49.0,50,0.0,34.0
0,2447,60.0,60,0.0,34.0
0,2448,103.0,104,0.0,46.0
0,2449,130.0,130,0.0,52.0
0,2450,149.0,150,0.0,62.0
0,2451,211.0,210,0.0,66.0
0,2452,81.0,81,0.0,40.0
0,2453,107.0,108,0.0,50.0
0,2454,156.0,157,0.0,58.0
0,2455,127.0,125,0.0,56.0
0,2456,215.0,215,0.0,66.0
0,2457,145.0,146,0.0,58.0
0,2458,170.0,170,0.0,60.0
0,2459,127.0,126,0.0,58.0
0,2460,107.0,107,0.0,46.0
0,2461,116.0,117,0.0,50.0
0,2462,298.0,298,0.0,86.0
0,2463,57.0,56,0.0,36.0
0,2464,90.0,90,0.0,44.0
0,2465,139.0,140,0.0,52.0
0,2466,93.0,93,0.0,48.0
0,2467,162.0,163,0.0,56.0
0,2468,140.0,141,0.0,52.0
0,2469,94.0,93,0.0,44.0
0,2470,136.0,136,0.0,50.0
0,2471,115.0,115,0.0,46.0
